distribution;1;2;3;4;5;6;7;8;9;10;ecart-type;average;by default 
lr0;0,00977;0,00761;0,0102;0,0109;0,00744;0,0101;0,0106;0,0118;0,0103;0,0152;0,002058445;0,010392;0,01
lrf;0,0919;0,0897;0,135;0,11;0,0989;0,0657;0,084;0,115;0,106;0,0707;0,019850262;0,09669;0,1
momentum;0,873;0,98;0,945;0,861;0,882;0,871;0,905;0,875;0,958;0,961;0,042828612;0,9111;0,937
weight_decay;0,00055;0,00047;0,00044;0,00056;0,00056;0,00057;0,0005;0,0005;0,00052;0,00028;8,22E-05;0,000495;0,0005
warmup_epochs;2,73;2,64;3,36;2,81;3,68;4,4;2,96;2,2;2,56;2,37;0,633584249;2,971;3
warmup_momentum;0,93;0,871;0,758;0,922;0,95;0,543;0,603;0,772;0,651;0,805;0,136071489;0,7805;0,8
warmup_bias_lr;0,0958;0,0797;0,109;0,146;0,0989;0,104;0,108;0,134;0,0963;0,0978;0,018437584;0,10695;0,1
box;0,0444;0,0363;0,0583;0,0358;0,04;0,0498;0,0483;0,0433;0,0391;0,0604;0,008173867;0,04557;0,05
cls;0,268;0,292;0,408;0,381;0,306;0,27;0,278;0,495;0,229;0,481;0,089394407;0,3408;0,3
cls_pw;1,1;0,927;0,976;0,696;0,586;1,12;1;1,52;1,05;1,93;0,367425435;1,0905;1
obj;0,605;0,447;0,81;0,72;1,1;1,08;0,738;0,674;0,767;0,527;0,201139156;0,7468;0,7
obj_pw;0,961;0,678;1,12;1,18;0,77;0,81;1,05;1,04;0,952;1,32;0,18665286;0,9881;1
iou_t;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;2,78E-17;0,2;0,2
anchor_t;3,48;3,86;3,38;5,15;4,3;3,09;4,41;5,78;4,28;3,4;0,810074688;4,113;4
fl_gamma;0;0;0;0;0;0;0;0;0;0;0;0;0
hsv_h;0,015;0,015;0,015;0,015;0,015;0,015;0,015;0,015;0,015;0,015;3,47E-18;0,015;0,015
hsv_s;0,542;0,683;0,626;0,773;0,849;0,595;0,633;0,9;0,502;0,545;0,128301052;0,6648;0,7
hsv_v;0,446;0,412;0,351;0,262;0,563;0,222;0,4;0,344;0,408;0,327;0,091358908;0,3735;0,4
degrees;0;0;0;0;0;0;0;0;0;0;0;0;0
translate;0,218;0,251;0,197;0,181;0,26;0,205;0,221;0,102;0,257;0,216;0,043935862;0,2108;0,2
scale;0,641;0,74;0,565;0,519;0,287;0,393;0,5;0,582;0,397;0,556;0,124945588;0,518;0,5
shear;0;0;0;0;0;0;0;0;0;0;0;0;0
perspective;0;0;0;0;0;0;0;0;0;0;0;0;0
flipud;0;0;0;0;0;0;0;0;0;0;0;0;0
fliplr;0,52;0,542;0,553;0,368;0,453;0,293;0,487;0,501;0,557;0,366;0,087103387;0,464;0,5
mosaic;1;1;1;1;1;1;1;1;1;1;0;1;1
mixup;0;0;0;0;0;0;0;0;0;0;0;0;0
copy_paste;0;0;0;0;0;0;0;0;0;0;0;0;0
paste_in;0;0;0;0;0;0;0;0;0;0;0;0;0
loss_ota;0,971;0,873;0,874;0,498;0,397;0,766;1;0,815;0,966;0,767;0,190565501;0,7927;1
anchors;3;3;3;3;3;3;3;3;3;3;0;3;3
