;subset_1;subset_2;subset_3;subset_4;subset_5;subset_6;subset_7;subset_8;subset_9;subset_10;average
lr0;0,00977;0,00761;0,01020;0,01090;0,00744;;;;;;0,0091840
lrf;0,09190;0,08970;0,13500;0,11000;0,09890;;;;;;0,1051000
momentum;0,87300;0,98000;0,94500;0,86100;0,88200;;;;;;0,9082000
weight_decay;0,00055;0,00047;0,00044;0,00056;0,00056;;;;;;0,0005160
warmup_epochs;2,73000;2,64000;3,36000;2,81000;3,68000;;;;;;3,0440000
warmup_momentum;0,93000;0,87100;0,75800;0,92200;0,95000;;;;;;0,8862000
warmup_bias_lr;0,09580;0,07970;0,10900;0,14600;0,09890;;;;;;0,1058800
box;0,04440;0,03630;0,05830;0,03580;0,04000;;;;;;0,0429600
cls;0,26800;0,29200;0,40800;0,38100;0,30600;;;;;;0,3310000
cls_pw;1,10000;0,92700;0,97600;0,69600;0,58600;;;;;;0,8570000
obj;0,60500;0,44700;0,81000;0,72000;1,10000;;;;;;0,7364000
obj_pw;0,96100;0,67800;1,12000;1,18000;0,77000;;;;;;0,9418000
iou_t;0,20000;0,20000;0,20000;0,20000;0,20000;;;;;;0,2000000
anchor_t;3,48000;3,86000;3,38000;5,15000;4,30000;;;;;;4,0340000
fl_gamma;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;0,0000000
hsv_h;0,01500;0,01500;0,01500;0,01500;0,01500;;;;;;0,0150000
hsv_s;0,54200;0,68300;0,62600;0,77300;0,84900;;;;;;0,6946000
hsv_v;0,44600;0,41200;0,35100;0,26200;0,56300;;;;;;0,4068000
degrees;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;0,0000000
translate;0,21800;0,25100;0,19700;0,18100;0,26000;;;;;;0,2214000
scale;0,64100;0,74000;0,56500;0,51900;0,28700;;;;;;0,5504000
shear;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;0,0000000
perspective;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;0,0000000
flipud;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;0,0000000
fliplr;0,52000;0,54200;0,55300;0,36800;0,45300;;;;;;0,4872000
mosaic;1,00000;1,00000;1,00000;1,00000;1,00000;;;;;;1,0000000
mixup;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;0,0000000
copy_paste;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;0,0000000
paste_in;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;0,0000000
loss_ota;0,97100;0,87300;0,87400;0,49800;0,39700;;;;;;0,7226000
anchors;3,00000;3,00000;3,00000;3,00000;3,00000;;;;;;3,0000000
